parent_asin,title,categories,details,average_rating,rating_number,price,bought_together
B000025YVO,The Minimalism of Erik Satie,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Item Weight"": ""3.21 Ounces"", ""Manufacturer"": ""hat ART Now Series"", ""Run time"": ""1 hour and 15 minutes"", ""Date First Available"": ""October 18, 2015"", ""Label"": ""hat ART Now Series"", ""Number of discs"": ""1""}",4.8,8,9.86,
B000QCX8RO,Uncorked,[],"{""Date First Available"": ""May 8, 2007""}",5.0,2,,
B0047IRB4E,the day of wrath LP,[],"{""Date First Available"": ""December 27, 2012""}",4.4,11,,
B003826E20,Undisguised,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""5.59 x 4.65 x 0.39 inches; 3.53 Ounces"", ""Manufacturer"": ""Evans Anthony"", ""Date First Available"": ""June 12, 2010"", ""Label"": ""Evans Anthony"", ""Country of Origin"": ""United Kingdom"", ""Number of discs"": ""1""}",4.9,45,6.91,
B01FF8ZZK6,20Ten,[],"{""Date First Available"": ""May 11, 2016""}",4.8,42,,
B00020V7ZK,Every Moment,[],"{""Package Dimensions"": ""5.55 x 4.97 x 0.54 inches; 2.83 Ounces"", ""Date First Available"": ""April 7, 2004""}",4.0,4,28.21,
B01MTL9QGG,Great Dg & Emi (37CD Box Set),[],"{""Product Dimensions"": ""5.71 x 0.39 x 4.92 inches; 1.1 Pounds"", ""Date First Available"": ""May 28, 2019"", ""Number of discs"": ""37""}",5.0,2,,
B00000418W,Verdi: Requiem / Quattro Pezzi Sacri Four Sacred Pieces,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Language"": ""English"", ""Product Dimensions"": ""5.59 x 5.04 x 0.94 inches; 6.7 Ounces"", ""Manufacturer"": ""Philips"", ""Item model number"": ""28944214222"", ""Original Release Date"": ""1995"", ""SPARS Code"": ""DDD"", ""Date First Available"": ""July 27, 2006"", ""Label"": ""Philips"", ""Number of discs"": ""2""}",4.6,52,24.98,
B0036ZXPBC,Beethoven: Symphony No. 7 / Symphony No. 2,[],"{""Package Dimensions"": ""5 x 5 x 0.3 inches; 6.4 Ounces"", ""Manufacturer"": ""Capricco"", ""Date First Available"": ""February 20, 2010"", ""Label"": ""Capricco"", ""Number of discs"": ""1""}",4.0,1,16.5,
B0006VCFC4,Interludes: Babbling Brook,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""5.5 x 4.9 x 0.4 inches; 1 Pounds"", ""Manufacturer"": ""Great American Audio"", ""Date First Available"": ""December 4, 2004"", ""Label"": ""Great American Audio""}",4.2,12,13.64,
