user_id,helpful_vote
AHGAOIZVODNHYMNCBV4DECZH42UQ,2
AH3OG6QD6EDJGZRVCFKV4B66VWNQ,4
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,5648
AGYEAZK4OEYF2MSSTGJ5WNJDVZKA,6
AFUB7CHTXRPD447QVQCHBZVN2IPQ,4
AFGWR7GZLOWSTFN2QJBE5NMGVEGQ,0
AE7BV6IMNPZ3F266H7PXMH3BZQNQ,158
AEHZXP35GBAQS4TD74JRUOFZI7SA,12
AGJOKZFVJ665TS2NJFP46AJQJL3Q,1
AHT24MMCKVNZ7RGZ46LFEWBUPOFA,0
AFJOCZGYW6QFTYEYBZXCFZNWONKQ,3
AFTDSPCG32FV2VPWLEYPDQARTSQA,1
AGZFRAVHZY6FKJ7JUMJ6Y5R7HMHA,6
AFKJQMCY3HIYNHN3FEMLQXPGIPWA,0
AGGJ6SHNO3HLK5JODWEITQQJETKQ,15
AFX54TU2SL5JJ53SZ72G6PEMSOOA,0
AG6MS57RFS4F2MZ5XJUINK7J4YCQ,1
AGQANGDZQGK2IOWOXHOCTPBPQRKA,4
AENAC6DVZYNNTEGCPUA542BD46VA,0
AGH7IQ2Y3DY4I6FXD5KWXIYAN57A,7
AGWWTJ2WJXCTXGD3TFDWUUBYOAXQ,0
AFQMW57GEUJGFS6RKLFFPDRNAQFA,4
AGS47C3SO62X375JL7RWNBKCFXXA,0
AG3S4FROO422V5KP7DJCBXVUQLJQ,8599
AHF23TTAPE3MPI45R2YET4OGHFTA,7
AEN2NKUOAXGNLLT6DCQDQ2LK7M6Q,36
AG25ZASYXSIF666IYOAOXJTTX2WQ,51
AEPTHE6UGTAHFEQTVNIB4K7H272Q,4
AHTBBASAHXHHOXKLSSZG2IPUDDFA,1
AGTMZCWIWBH43TCW7UKG2YV2EKKA,7319
AGRQV4NXI76YDR247XG4QDXFO3JQ,14
AE36CH2CNKXKUUZSSDUBSFN5ARWQ,4
AF2BLE54TEMGZ546U763ZHZRXC4A,1734
AFDNLNTANUGENK62RSTAQALJOWPQ,2872
AHZZJQYNVZUJNPNQ737ITGEQUB4A,237
AE3ADG6WP7UYB54J3CRQ22BLQE3A,8
AE53BPYA42RVO7EG7MIR7AMUSZBQ,15
AGQPAYVT3UXTUMSX5NTDVXMUIIVQ,9
AEAVLSCYOUN57UZXZ5WEWPIAG35Q,0
AHTLWVDXSMG5YMVMEIWWOU6XBZMA,83
AH7UKE3JVRDLDME7ZEDCPVF7QS5Q,67
AGXPI72I5AC3HGO3L37BGW6IO4JA,7
