user_id,helpful_vote
AFZUK3MTBIBEDQOPAK3OATUOUKLA,537
AFJBKPK5W56XWSNPQU2WW66ISWYQ,295
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,0
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,390
AETGCWXC47MSMK6B2TLZ44KCFJZQ,409
AH7P2ZJ7NDT2NNVS7ZEGNEPT2J2Q,58
AFMHO73ZLBHUMB36EHB4GUFLM3SA,14
AFERCDY2EFJKT7QUQ75GISNHTFOQ,2853
AFUSWNVA72MMWHGYWJ652SYX2JJQ,294
AFEMVUNGJXKV5HA463WSDY4I2K7Q,154
AGQCFT47KDI77JKRSOMAK34MJPAQ,104
AG3S4FROO422V5KP7DJCBXVUQLJQ,8599
AGTMZCWIWBH43TCW7UKG2YV2EKKA,7319
AHPOHKN4PU4W3V5PGFL7AGTAD2AA,1544
AFS5TQHRDNYDFD7ONWOVFWTCGAKQ,117
AF2BLE54TEMGZ546U763ZHZRXC4A,1734
AFNL6B7KCS3NN3K5ADRPXO7EINUQ,339
AFJ74T4L5ZMC7PCNN4C567JNFWWA,124
AFGLFLHKZQI35Z7UIJWNUCTFSGXQ,47
AFXMJCVLRCGRAEC7P37FZHEB24UQ,148
AFDNLNTANUGENK62RSTAQALJOWPQ,2872
AENE4O4RTVRK6N2VUTSUGTPKS46A,45
AEMSAB6U4VWVVKCJATP3HJNI2DCQ,40
AG3XIAIYKMMG356ZP2UJ4RFQTJJA,214
AGMHWXS6HWO5P76BVBJWFQORNNDQ,163
AETTCQ34XRYAYKLWZZJZVRQM5MSQ,181
AGNSUP65FG6GKSCQJKEH7A4YZLEQ,1679
AGTW6ZGPUAORQ7X6CNBP6PJW7OTA,169
AHESP2LHOADAN4JS27W2KQ6BYS4Q,51
AEGYU6OM2X66SMZN6AF3TSQ3N5PQ,907
AHJYOD56GVUHGUW6NV4US7JR6NDA,55
AEDJVPROO4BDZVXAVXWZI5IVCZQQ,25
AGWDYYVVWM3DC3CASUZKXK67G6IA,31954
AEBXJRP4COCKP22LPKUDVCQ7JKVQ,10
AEJ4FAZBYK7Z4W3W477GHPLZJM5Q,9
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,9
AF4KRDA6XVQE357OWPILTPXV7TSA,157
AG73BVBKUOH22USSFJA5ZWL7AKXA,262
AHBDCC6PPJ6TDXHQOYIHKDNS3VHQ,690
AH43BJO2KMQSBR6BI3634HXTXNOQ,78
AHG467OARH57WFSWMRP4Y3LYFVFA,32
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,807
AHM2YO44HU7UZHLDT46R7V2ZMYFQ,204
AHW7ETGBKGX6DCG2LBAG5YAXU46A,7065
AGCIK7B4BXDHQE3FAQ5JMIDJMKDA,69
AE5VPKX64CVOPH6X75C7EQXAIGLA,518
AHXWUCTMVBQXDVMDFPA3NO43QF2Q,3554
AE3XHOX3OBSVFXACAPNFMKSUWR5Q,986
AENH6LSB6BM7XLPEYUL43WBOD6JA,558
AGADWSNI4D65TO2LXO2PYRFWGB3A,45
AGSP6LSQK32SQEJO3YVVNACPWMSQ,3250
AGUGXIJLHKXL2JQWVQ32CCXDBYFA,5863
AHEWWQIHUG36DHGK7JYZXMRDWR5A,24
AFML2HBQNS73BK3APKKAXUOADROQ,140
AGZYNKTWTUPP4ZLJ77LH7TFL6Y5A,431
AEYJ5I5ZNOZT6BT55BB73JNPMIDA,10
AECQQBG6YRYCOJL2NCB2H3V6LD6Q,962
AHPR3DAGWZHHNZW2LBMTXU3PLSLQ,1627
AFYAIOONOWUPLSZ7HWH6R4VAAD3Q,10
AH7KGAL4N5MBRFAKADIA2AWA64RQ,65
AHJEF5IKAYNNM2NCWXBZMHA6PPAA,1411
AFIJLAW3HIOMRUFSWNH54IJ3XQAA,8896
