user_id,helpful_vote
AFZUK3MTBIBEDQOPAK3OATUOUKLA,1718
AFJBKPK5W56XWSNPQU2WW66ISWYQ,200
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,3
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,661
AETGCWXC47MSMK6B2TLZ44KCFJZQ,146
AH7P2ZJ7NDT2NNVS7ZEGNEPT2J2Q,9
AFMHO73ZLBHUMB36EHB4GUFLM3SA,23
AFERCDY2EFJKT7QUQ75GISNHTFOQ,166
AFUSWNVA72MMWHGYWJ652SYX2JJQ,690
AFEMVUNGJXKV5HA463WSDY4I2K7Q,115
AGQCFT47KDI77JKRSOMAK34MJPAQ,229
AG3S4FROO422V5KP7DJCBXVUQLJQ,1287
AGTMZCWIWBH43TCW7UKG2YV2EKKA,1021
AHPOHKN4PU4W3V5PGFL7AGTAD2AA,478
AFS5TQHRDNYDFD7ONWOVFWTCGAKQ,85
AF2BLE54TEMGZ546U763ZHZRXC4A,735
AFNL6B7KCS3NN3K5ADRPXO7EINUQ,309
AFJ74T4L5ZMC7PCNN4C567JNFWWA,37
AFGLFLHKZQI35Z7UIJWNUCTFSGXQ,18
AFXMJCVLRCGRAEC7P37FZHEB24UQ,59
AFDNLNTANUGENK62RSTAQALJOWPQ,207
AENE4O4RTVRK6N2VUTSUGTPKS46A,38
AEMSAB6U4VWVVKCJATP3HJNI2DCQ,53
AG3XIAIYKMMG356ZP2UJ4RFQTJJA,15
AGMHWXS6HWO5P76BVBJWFQORNNDQ,26
AETTCQ34XRYAYKLWZZJZVRQM5MSQ,213
AGNSUP65FG6GKSCQJKEH7A4YZLEQ,117
AGTW6ZGPUAORQ7X6CNBP6PJW7OTA,34
AHESP2LHOADAN4JS27W2KQ6BYS4Q,49
AEGYU6OM2X66SMZN6AF3TSQ3N5PQ,641
AHJYOD56GVUHGUW6NV4US7JR6NDA,776
AEDJVPROO4BDZVXAVXWZI5IVCZQQ,2
AGWDYYVVWM3DC3CASUZKXK67G6IA,270
AEBXJRP4COCKP22LPKUDVCQ7JKVQ,30
AEJ4FAZBYK7Z4W3W477GHPLZJM5Q,31
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,3
AF4KRDA6XVQE357OWPILTPXV7TSA,15
AG73BVBKUOH22USSFJA5ZWL7AKXA,538
AHBDCC6PPJ6TDXHQOYIHKDNS3VHQ,24
AH43BJO2KMQSBR6BI3634HXTXNOQ,98
AHG467OARH57WFSWMRP4Y3LYFVFA,44
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,375
AHM2YO44HU7UZHLDT46R7V2ZMYFQ,26
AHW7ETGBKGX6DCG2LBAG5YAXU46A,176
AGCIK7B4BXDHQE3FAQ5JMIDJMKDA,233
AE5VPKX64CVOPH6X75C7EQXAIGLA,207
AHXWUCTMVBQXDVMDFPA3NO43QF2Q,63
AE3XHOX3OBSVFXACAPNFMKSUWR5Q,63
AENH6LSB6BM7XLPEYUL43WBOD6JA,626
AGADWSNI4D65TO2LXO2PYRFWGB3A,34
AGSP6LSQK32SQEJO3YVVNACPWMSQ,83
AGUGXIJLHKXL2JQWVQ32CCXDBYFA,106
AHEWWQIHUG36DHGK7JYZXMRDWR5A,55
AFML2HBQNS73BK3APKKAXUOADROQ,5
AGZYNKTWTUPP4ZLJ77LH7TFL6Y5A,335
AEYJ5I5ZNOZT6BT55BB73JNPMIDA,37
