user_id,helpful_vote
AFZUK3MTBIBEDQOPAK3OATUOUKLA,379
AFJBKPK5W56XWSNPQU2WW66ISWYQ,60
AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,2
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,241
AETGCWXC47MSMK6B2TLZ44KCFJZQ,66
AH7P2ZJ7NDT2NNVS7ZEGNEPT2J2Q,38
AFMHO73ZLBHUMB36EHB4GUFLM3SA,41
AFERCDY2EFJKT7QUQ75GISNHTFOQ,541
AFUSWNVA72MMWHGYWJ652SYX2JJQ,55
AFEMVUNGJXKV5HA463WSDY4I2K7Q,80
AGQCFT47KDI77JKRSOMAK34MJPAQ,47
AG3S4FROO422V5KP7DJCBXVUQLJQ,566
AGTMZCWIWBH43TCW7UKG2YV2EKKA,4959
AHPOHKN4PU4W3V5PGFL7AGTAD2AA,409
AFS5TQHRDNYDFD7ONWOVFWTCGAKQ,27
AF2BLE54TEMGZ546U763ZHZRXC4A,59
AFNL6B7KCS3NN3K5ADRPXO7EINUQ,452
AFJ74T4L5ZMC7PCNN4C567JNFWWA,83
AFGLFLHKZQI35Z7UIJWNUCTFSGXQ,5
AFXMJCVLRCGRAEC7P37FZHEB24UQ,4
AFDNLNTANUGENK62RSTAQALJOWPQ,74
AENE4O4RTVRK6N2VUTSUGTPKS46A,94
AEMSAB6U4VWVVKCJATP3HJNI2DCQ,78
AG3XIAIYKMMG356ZP2UJ4RFQTJJA,9
AGMHWXS6HWO5P76BVBJWFQORNNDQ,34
AETTCQ34XRYAYKLWZZJZVRQM5MSQ,461
AGNSUP65FG6GKSCQJKEH7A4YZLEQ,161
AGTW6ZGPUAORQ7X6CNBP6PJW7OTA,1503
AHESP2LHOADAN4JS27W2KQ6BYS4Q,137
AEGYU6OM2X66SMZN6AF3TSQ3N5PQ,289
AHJYOD56GVUHGUW6NV4US7JR6NDA,195
AEDJVPROO4BDZVXAVXWZI5IVCZQQ,15
AGWDYYVVWM3DC3CASUZKXK67G6IA,11286
AEBXJRP4COCKP22LPKUDVCQ7JKVQ,34
AEJ4FAZBYK7Z4W3W477GHPLZJM5Q,0
AG3G7OTDDNO3WMAZVZU7CDR3LG3A,1
AF4KRDA6XVQE357OWPILTPXV7TSA,94
AG73BVBKUOH22USSFJA5ZWL7AKXA,8
AHBDCC6PPJ6TDXHQOYIHKDNS3VHQ,84
AH43BJO2KMQSBR6BI3634HXTXNOQ,168
AHG467OARH57WFSWMRP4Y3LYFVFA,12
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,278
AHM2YO44HU7UZHLDT46R7V2ZMYFQ,210
AHW7ETGBKGX6DCG2LBAG5YAXU46A,897
AGCIK7B4BXDHQE3FAQ5JMIDJMKDA,56
AE5VPKX64CVOPH6X75C7EQXAIGLA,211
AHXWUCTMVBQXDVMDFPA3NO43QF2Q,512
AE3XHOX3OBSVFXACAPNFMKSUWR5Q,38
AENH6LSB6BM7XLPEYUL43WBOD6JA,957
AGADWSNI4D65TO2LXO2PYRFWGB3A,65
AGSP6LSQK32SQEJO3YVVNACPWMSQ,150
AGUGXIJLHKXL2JQWVQ32CCXDBYFA,102
AHEWWQIHUG36DHGK7JYZXMRDWR5A,15
AFML2HBQNS73BK3APKKAXUOADROQ,37
AGZYNKTWTUPP4ZLJ77LH7TFL6Y5A,88
AEYJ5I5ZNOZT6BT55BB73JNPMIDA,13
AECQQBG6YRYCOJL2NCB2H3V6LD6Q,31
AHPR3DAGWZHHNZW2LBMTXU3PLSLQ,197
AFYAIOONOWUPLSZ7HWH6R4VAAD3Q,62
AH7KGAL4N5MBRFAKADIA2AWA64RQ,83
AHJEF5IKAYNNM2NCWXBZMHA6PPAA,10
AFIJLAW3HIOMRUFSWNH54IJ3XQAA,22588
AH3BXW7KLIS2VAE56UXJS2NS7I5A,592
AGPC7CWRQPMNQFXWLYJYQYF7DCQA,7
AEH25TSB32JS7K5FIZQLIEKH4I4A,6
AE4VXIOKBNGRGQRGMS5W25F3LRNA,11
AHN5RT3UIU3ONH7SF4X7NREDVBAA,918
AHVSKOZXKLW3C4UQA3ACRWHBHFBA,330
AELHYMCYVS6T35HA3UH5UGFWTK6Q,58
AG63W2BMC4HRP76AMS36AYY64AHA,32
AHNM5TRS66Y25IPXQK432ERWCEPA,89
AGWBKZXJM7FNL3MXA2AQYE2S444A,1
AFQNHDM5U3PICULYQWZWXFP7XHQA,18
AGAVKNCPQC4E4KVNDMKCNG74DLAA,79
AHTRUFJVTG6AL5RR4VSYWPN2L5XA,2
AFC4OOVFE26I6EHZ5DMF5B4KCALA,47
AF2TV3KZUDWFG2SHSNRONH73ZFCA,9
AEY6CJRGQWNHC4XTHNXICWZVGG4A,107
AHHG5GS2XOMFHM5KHGYD3M67D7DQ,158
AG375WAXLZ7PIOQKIQ6KQB4J3JVQ,77
AGF3GTGWVWB7QONIOHQMYOVQFAJA,18
AHSL6SPJ3F6JQU4TG2UFMHVVQCKA,639
AGOTIZH7DO5TBSSAKDOMYQKDMDSA,224
AHLNMKVMOMO7SMAI3TRC3RCMUAMQ,33
AHMQMHWFRXQKVG5DYNCNJICXVWKQ,7
AHZIHNW6OOJ4YJJN4WVC46M36BIQ,446
AE4SX2IMZGVQSS5SFWP6NEE2HQ4Q,1477
AE6U2ZCGCBRDU3TT3PVH44ITRLOA,2348
AH2BYBF2DDGCFAVDEKWG4IWURFRQ,418
AF6M3EZ5KMDTHOQDNDGMSK4APZXA,8
AFGI5XVA5EBVOE2EOS42KHQSULXA,849
AHM2XKCUWJ4GZQNGDGNEVEN7FJYQ,94
AGXFIFO4VWNHPAX3VJPRQ2QJSCSQ,1228
AHCS6L3UP2XEQHG6VMFHHLIK73GQ,3
AHOAVXAXETQJZ6CMJLVZHPEYG43Q,1
AHKGNYI5QQ74HKCJGKVIMXST63IQ,4
AGN255MSZ2LACDTTUMEWE47ZR7MQ,36
AGT6Q3LMIRVEMGJC7GFPZ7A7TQQQ,81
AEMDRVDPKSGPZ4VYULWYXICKEUVQ,0
AE6543BDEBMDZILJ4VLHBZNNL2NA,17
AF5NDDZ6BXWH4NJN6DX4EL546BYA,12
AEHSOX3KWAWCFS5Y27H6ZLZFBC3Q,52
AHJ3S3V3XBCJZFF7EE4RALKBJPPQ,3357
AFRGSROI7T5UAGPS3UJDGCTK4HDQ,155
AHPAXGZTH4KAGQHOWQ4SGU4BN23Q,65
AFU3RKRGB4F23XUKA4P43AEHVSTA,20
AENQC6O3X4BUEQWSDTBUN2VMM5VQ,4037
AGXX7ZWLBXK6WF4SCAF3AG4MWJMQ,65
AENRTRDOJ6UKU5FB2EJ3D33BRIMQ,3
AH5KNRSD6RKBCN4F7WT6TPIYEUGA,180
AEEL5LKRPXOMMIGHNCSQACPDF7YA,79
AENTF5QFX47PUUNROPFG2VZPY4JA,44
AEN7WS2WNPXJYR66XONJALH665PQ,230
AH5RKO5JF332LQMJY2PQXMNHGXYQ,865
AEPXQJ7UVH537LYAKR4ABCUXOJLA,11
AHYBV4R4T7X32NOL26NDTG4KYITA,13
AHIRWKIA4JWTMPDXNI6ZTUCUQ5NA,7
AGKQTHFU7G33JZRFS7W2AXYBA2MQ,4
AE6EXISPRU2U7C63G23IKSIKTTNQ,69
AFCCXYXHOCXI33E2W42IG4IZVCCA,226
AHSLRVYVCA7H5OKMHGBIWIAZPQDA,743
AE2DZPOX2DSSR6MF6MXFOKTTNEMA,2
AEO3UFEOS3ELXMXWPA5CJ34VQ7TQ,8
AF7UUOEIY6ZART4P6WQGG7XU2SSQ,84
AHVFOMUHI6ABFZO6AAF7C5NY47QA,3
AFOZCGDB3KWOONULCR63K5IWG26Q,44
AFHABXJXUQOULAICXY5OULBHXLOQ,22
AFCWL7J5R6VS4GBYURIXIU23XX4A,20
AHTKZDHQ65BYIZ3ZZEAXUKUGOLRA,1
AFJRCPBHB6FFKJBDTB4L4DXG2X3A,18
AEYENHW5MBPK2WSDQSMGEEXLVYUA,56
AH4MAJJEO42FXM2RVX7UETMZ7JLA,24
AGY6SXFQIP3FMKMKICQEHAGOQCCA,141
AGCJSPBAYYCL6TXQXOIBRA5MS4RA,9
AE4P2JU3TZNH5PZZUHKF6J6CIM4A,362
AFE54MELB5IGFUYBSOBGJOSOMEPA,1342
AFRZV2X6GAHMEJ34CLDBVNXIMTAQ,38
AGDNPXZHZBXDJ7ELU54GBGOYHP6Q,408
AGDC7I2KTJ2GCOW4IEIUMJCNILHQ,7
AF55BO5CKTFGD3BZQLGEGDC4SYLQ,2
AEJNMJ7NA4XNRSTTEJ52FJFETOZQ,30
AFFDJDE6DNRP4OUQ3SQ2J3BNM3TA,49
AELMGVQANXHWWVB3KQKXHPETGZDQ,109
AHAMHLUWZTVCHUQLQNDZZAAX4KGA,59
AFA2HZAKKWNUGYNOMQT7TTYOKYTA,8
AFGUDLQ3SM4FL2LLFNXQEYURNRDA,5
AGQ4EEVGV4OFCIMP2JU7JCA7JBBA,1
AEJ4TIQL5DM47PWZDITYJEUOL22A,8
AFDJNQN2BZHJNXQIQJZFF3HLGAQQ,23
AFTVDMQULS2NHTO2PLMMBR2BG6XQ,81
AFNJI3DX2BSKCQWKPHXNLIE6RUHQ,8
AFLO7QKN3WVVES5ASJ5PBDHMKZLQ,96
AGP5RJCHPRDZ35TIERPXHVSIDOYQ,161
AHDYP2HLDJBMXV3H23GGDUKOKHGA,23
AGR7CTQV4ETCIWAPZDP42W5V6EQA,12
AHPNDZ62QLYS6OQRQ7UGZ4P36QQA,174
AFAWHRH5SMYTLVJAA4D2ALJHN5HA,26
AEVSHYSHHVPGM6Q344VTVG2SGVMQ,53
AFFBUHYE6RQ66DBGO3KNWVY36PXA,739
